Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Bedrooms to be determined,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
1989-012,(2) Predevelopment Feasibility,El Dorado,150,9th,St,94103,3509,7,6,South of Market,South of Market,MOHCD/SFRA,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,,,,,11/11/2025,"Conard House, Inc.",,,,  (http://propertymap.sfplanning.org/?search=),,,,202305026865,62,57,5,92,57,0,0,0,0,0,0,,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7754439,-122.4140797,"(37.7754439, -122.4140797)"
2017-035,(3) Design with Entitlements Approved,3601 Lawton,3601,Lawton,St,94122,1901,1,4,Sunset/Parkside,Outer Sunset,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,12/20/2019,,Kodorski Design Inc,,,2015-009053PRJ,2015-009053PRJ (http://propertymap.sfplanning.org/?search=2015-009053PRJ),,,,201803062996,41,10,31,24,0,0,7,3,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,3,0,0,37.7565277,-122.5017457,"(37.7565277, -122.5017457)"
2022-002,(3) Design with Entitlements Approved,5367 Diamond Heights,5367,Diamond Heights,Blvd,94131,7535,108,8,Noe Valley,Noe Valley,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,02/02/2024,03/28/2026,,,"Vista Del Monte Affordable Housing, Inc.",2020-007481PRJ,2020-007481PRJ (http://propertymap.sfplanning.org/?search=2020-007481PRJ),,02/03/2022,Fee Payment,,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.742584,-122.4359628,"(37.742584, -122.4359628)"
2023-012,(3) Design with Entitlements Approved,1500 15th St,1500,15th,St,94103,3548,"016, 018",9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,01/24/2025,,,,,2016-011827PRJ,2016-011827PRJ (http://propertymap.sfplanning.org/?search=2016-011827PRJ),,01/26/2023,On-site BMR Project; Fee Payment,,189,32,157,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,7,0,0,0,6,0,0,0,0,37.76704,-122.41809,"(37.76704, -122.41809)"
2020-020,(2) Predevelopment Feasibility,Balboa Reservoir Building B,,,,94112,,,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,01/01/2024,06/01/2026,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,92,92,0,100,0,0,25,41,27,0,0,,0,1,2bd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2006-002,(7) On-Hold / Planning Approval Expired,Midtown Park Apartments,1415,Scott,St,94115,,,5,Western Addition,Western Addition,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,Rehabilitation,Rental,,01/01/2020,,,01/01/2020,01/01/2022,,,,2014.0563,2014.0563 (http://propertymap.sfplanning.org/?search=2014.0563),,,,,139,139,0,100,0,0,23,55,61,0,0,,0,0,0,139,0,0,0,0,0,0,0,0,0,65,0,10,15,15,10,0,0,10,0,1,13,37.7831685,-122.4380095,"(37.7831685, -122.4380095)"
2016-022,(3) Design with Entitlements Approved,430 Eddy,430,Eddy,St,94109,334,8,5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,03/16/2018,,430 Eddy Associates LLC,,,2014.04,2014.0400 (http://propertymap.sfplanning.org/?search=2014.0400),"2014.0400CUA,2014.0400E,2014.0400PPA,2014.0400SHD,2014.0400U",03/17/2016,On-site BMR Project,201605056698,23,3,20,13,0,3,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.783937,-122.414834,"(37.783937, -122.414834)"
2018-017,(4) Site Work Permit Issued,807 Franklin St,807,Franklin,St,94102,744,2,2,Western Addition,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,07/01/2019,,801 Franklin LLC,,,2013.1224,2013.1224 (http://propertymap.sfplanning.org/?search=2013.1224),"2013.1224CUA,2013.1224E,2013.1224SHD,2013.1224TDM,2013.1224U",08/30/2018,Fee Payment,201712186731,48,0,48,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.78206,-122.4226803,"(37.78206, -122.4226803)"
2016-105,(1) Preliminary Phase,"CP-02 ""Infield"" Senior",,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,OCII Inclusionary Rental Program,Candlestick Point,New Construction,Rental,,,,,09/01/2022,,,,,Not Applicable,,,,,,105,104,1,99,0,0,0,0,0,0,0,104,0,0,1,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,37.71356453,-122.3842862,"(37.71356453, -122.3842862)"
2018-036,(3) Design with Entitlements Approved,1052-1060 Folsom,1052,Folsom,St,94103,3731,87,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,12/18/2020,,,,,2016-004905PRJ,2016-004905PRJ (http://propertymap.sfplanning.org/?search=2016-004905PRJ),,12/20/2018,On-site BMR Project,,59,14,45,24,0,0,6,8,0,0,0,,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,2,0,0,0,0,37.7776682,-122.4070613,"(37.7776682, -122.4070613)"
2019-016,(3) Design with Entitlements Approved,755 Brannan,755,Brannan,St,94103,3784,181,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,08/20/2021,,,,,2017-002951PRJ,2017-002951PRJ (http://propertymap.sfplanning.org/?search=2017-002951PRJ),,08/22/2019,On-site BMR Project; Fee Payment,201912169643,57,8,49,14,0,3,1,4,0,0,0,,0,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,2,0,0,0,0,37.773879,-122.402012,"(37.773879, -122.402012)"
2019-033,(3) Design with Entitlements Approved,953-955 Folsom,953-955,Folsom,St,94107,3753,114,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,,,,,,2016-005596PRJ,2016-005596PRJ (http://propertymap.sfplanning.org/?search=2016-005596PRJ),,,Fee Payment,201702028469,23,0,23,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.77909,-122.4044,"(37.77909, -122.4044)"
2015-055,(3) Design with Entitlements Approved,475 Minna,475,Minna,St,94103,3725,68,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,12/08/2017,,John Jensen,,,2018-016055PRJ,2018-016055PRJ (http://propertymap.sfplanning.org/?search=2018-016055PRJ),"2014.1442DNX,2014.1442ENV,2014.1442U",12/10/2015,On-site BMR Project,201811276775,266,109,157,41,109,0,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,22,0,79,3,0,0,8,0,0,0,0,37.7809723,-122.4073931,"(37.7809723, -122.4073931)"
2012-019b,(5) First Construction Document Issued,Potrero Block B,1801,25th,St,94107,4285B,1,10,Potrero Hill,Potrero Hill,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,,08/11/2022,,,08/11/2022,09/01/2024,BRIDGE Housing,,,2010.0515PHA,2010.0515PHA (http://propertymap.sfplanning.org/?search=2010.0515PHA),,,,,157,155,2,99,0,0,40,54,52,11,0,,24,2,"2bd, 3bd",155,0,0,0,0,0,117,0,49,0,106,0,1,0,0,0,0,0,0,0,0,0,37.7523266,-122.3965365,"(37.7523266, -122.3965365)"
2015-033c,(5) First Construction Document Issued,Sunnydale Block 3A,,,,94134,,,10,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,Not in an OCII Project Area,New Construction,Rental,,06/12/2023,,,06/12/2023,04/01/2025,Related California,Mercy Housing CA,Mercy Housing CA,2010.0305,2010.0305 (http://propertymap.sfplanning.org/?search=2010.0305),,,,202106031523,80,79,1,99,0,4,24,28,15,8,0,,14,1,3bd,0,0,0,0,0,0,60,0,0,16,44,19,0,0,0,0,0,0,0,0,0,0,37.7120506,-122.4164666,"(37.7120506, -122.4164666)"
2013-050,(5) First Construction Document Issued,Fulton 555,555,Fulton,St,94118,,,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,07/28/2014,,"Fulton Street Ventures, LLC",,,2013.0063,2013.0063 (http://propertymap.sfplanning.org/?search=2013.0063),"2013.0063C,2013.0063Q,2013.0063S,2013.0063T",10/03/2013,On-site BMR Project,,139,17,122,12,0,3,6,8,0,0,0,,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,37.7781581,-122.4261091,"(37.7781581, -122.4261091)"
2022-012,(3) Design with Entitlements Approved,5272-5280 3rd St,5272-5280,3rd,St,94124,5411,"014, 015",10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,11/15/2024,01/09/2027,,,,2020-006131PRJ,2020-006131PRJ (http://propertymap.sfplanning.org/?search=2020-006131PRJ),,,,,12,1,11,8,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37.72966,-122.39286,"(37.72966, -122.39286)"
2016-015,(7) On-Hold / Planning Approval Expired,Padre Palou,3400,16th,St,94114,3558,113,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Multifamily Securities Program,Not in an OCII Project Area,Rehabilitation,Rental,,,02/28/1992,,,,Mercy Housing CA,,"16th and Church Street Associates, LP",Not Applicable,,,,,9201163,18,18,0,100,0,0,0,0,0,0,0,,0,1,2bd,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,37.7646957,-122.4290308,"(37.7646957, -122.4290308)"
2010-005,(5) First Construction Document Issued,Kapuso at the Upper Yard,2340,San Jose,Ave,94112,6973,39,11,Outer Mission,Ocean View,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,01/31/2019,,07/06/2021,,Related California,,,2017-012151PRJ,2017-012151PRJ (http://propertymap.sfplanning.org/?search=2017-012151PRJ),"2017-012151ENV,2017-012151GPR,2017-012151PPA",,,201807033677,131,130,1,99,0,7,47,61,15,0,0,,13,1,2bd,130,0,0,0,0,0,39,0,0,27,61,0,24,0,0,0,18,0,0,0,0,0,37.7193462,-122.4477202,"(37.7193462, -122.4477202)"
2019-029,(2) Predevelopment Feasibility,1939 Market,,,,,,,8,Castro/Upper Market,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,11/15/2024,,,11/15/2024,09/15/2026,Mercy Housing CA,,,,2022-009171PRJ (http://propertymap.sfplanning.org/?search=2022-009171PRJ),,,,,187,185,2,99,0,106,80,1,0,0,0,,28,2,"1BR, 2BR",0,185,0,40,0,40,0,37,78,0,20,0,50,0,0,0,0,0,0,0,0,0,,,
2017-018,(3) Design with Entitlements Approved,519 Ellis,519,Ellis,St,94109,334,"028, 028A",5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,06/11/2020,,,,,,2018-008501PRJ (http://propertymap.sfplanning.org/?search=2018-008501PRJ),,,,201806081421,21,3,18,14,0,3,0,0,0,0,0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.78439,-122.41492,"(37.78439, -122.41492)"
2017-045,(5) First Construction Document Issued,730 Stanyan,700-730,Stanyan,St,94117,1249,24,5,Haight Ashbury,Haight Ashbury,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,12/01/2022,,,12/01/2022,,Chinatown Community Development Center,Tenderloin Neighborhood Development Corporation (TNDC),,2021-001053PRJ,2021-001053PRJ (http://propertymap.sfplanning.org/?search=2021-001053PRJ),,,,,160,159,1,99,0,35,43,42,40,0,0,,32,1,1bd,127,0,20,12,0,32,0,40,16,0,36,0,39,28,0,0,0,0,0,0,0,0,37.7686903,-122.4530047,"(37.7686903, -122.4530047)"
2020-014,(1) Preliminary Phase,Treasure Island E1.2 - CHP,,,,94130,,,6,Treasure Island,Treasure Island/YBI,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Mercy Housing CA,,,,  (http://propertymap.sfplanning.org/?search=),,,,,100,99,1,99,0,50,49,0,0,0,0,,0,1,2 bd,0,99,0,0,0,0,0,0,23,6,60,0,0,0,0,10,0,0,0,0,0,0,,,
2018-048,(4) Site Work Permit Issued,1924 Mission,1924,Mission,St,94103,3554,003A,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,08/22/2019,,02/20/2020,,,,,2014.0449,2014.0449 (http://propertymap.sfplanning.org/?search=2014.0449),,03/27/2019,On-site BMR Project,201605238117,11,1,10,9,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37.7663116,-122.4200257,"(37.7663116, -122.4200257)"
2020-001,(4) Site Work Permit Issued,3230-3236 24th St,3230-3236,24th,St,94110,3642,96,9,Mission,Mission,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,In-lieu Fee Project,,,,,12/31/2021,,,,,2016-014062PRJ,2016-014062PRJ (http://propertymap.sfplanning.org/?search=2016-014062PRJ),,01/02/2020,Fee Payment,,17,0,17,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7524374,-122.4168524,"(37.7524374, -122.4168524)"
2012-001f,(2) Predevelopment Feasibility,Alice Griffith Phase 5 (Blocks 14 & 15),,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,HOPE SF,Candlestick Point,New Construction,Rental,,04/01/2024,,,04/01/2024,12/01/2025,,,,Not Applicable,,,,,,36,35,1,97,0,0,0,0,0,29,6,,4,1,2bd,35,0,0,0,0,0,30,0,0,0,30,0,5,0,0,0,0,0,0,0,0,0,37.71876424,-122.3877368,"(37.71876424, -122.3877368)"
2016-002,(3) Design with Entitlements Approved,"HPSY II-CPN, Block 10A",625,Gilman,Ave,94124,5000,2,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,,,,,07/01/2023,,,,,Not Applicable,,,12/05/2017,,201804287356,140,139,1,99,0,0,20,57,58,3,1,,32,1,2bd,150,0,5,35,0,0,0,0,35,0,0,0,120,0,0,0,0,0,0,0,0,0,37.71485911,-122.3846434,"(37.71485911, -122.3846434)"
2016-112,(3) Design with Entitlements Approved,524 Howard,524,Howard,St,94105,3721,13,6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,,,,11/02/2018,,"J. Abrams Law, PC",,,2013.0882,2013.0882 (http://propertymap.sfplanning.org/?search=2013.0882),,,,,334,50,284,15,0,0,0,0,0,0,0,,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,37.788032,-122.396977,"(37.788032, -122.396977)"
2018-035,(4) Site Work Permit Issued,3637-3657 Sacramento,3637,Sacramento,St,94118,1018,"012, 020",2,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Rental,,07/01/2023,,,11/06/2020,,Sacramento Locust Associates,,,2007.1347,2007.1347 (http://propertymap.sfplanning.org/?search=2007.1347),,11/08/2018,Fee Payment,201908290181,18,0,18,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7871612,-122.4525403,"(37.7871612, -122.4525403)"
2021-008,(3) Design with Entitlements Approved,6424 3rd St,6424,3rd,St,94123,5470,2,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing Program,Not in an OCII Project Area,New Construction,Ownership,,,,,05/12/2023,07/05/2025,Antrea Investments & Trading LLC,,,2014.1058,2014.1058 (http://propertymap.sfplanning.org/?search=2014.1058),,05/13/2021,On-site BMR Project,201512316257,17,2,15,12,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37.7198578,-122.3971423,"(37.7198578, -122.3971423)"
2016-026,(1) Preliminary Phase,"HPSY, Block 1 (Ownership)",,,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,07/01/2021,,,07/01/2021,12/23/2022,,,,Not Applicable,,,,,,50,6,44,12,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,37.72949706,-122.3702246,"(37.72949706, -122.3702246)"
2016-090,(1) Preliminary Phase,Mission Bay South 4 East,,,,94158,,,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,12/01/2021,,,12/01/2021,12/01/2023,,,,Not Applicable,,,,,,34,33,1,97,0,0,0,0,0,0,0,33,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,37.772435,-122.3900887,"(37.772435, -122.3900887)"
2023-004,(2) Predevelopment Feasibility,2530 18th Homeless Prenatal Program Housing,2530,18th,St,94110,4014,002A,9,Mission,Mission,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,Mercy Housing CA,,,,  (http://propertymap.sfplanning.org/?search=),,,,202201105662,73,73,0,100,0,0,37,30,6,0,0,,12,1,2bd,72,0,0,36,0,36,0,0,36,0,9,0,0,27,0,0,0,0,0,0,0,0,37.76217,-122.40794,"(37.76217, -122.40794)"
2014-008a,(5) First Construction Document Issued,MIRA Tower,160,Folsom,St,94105,3740,30,6,Financial District/South Beach,Financial District,OCII,Limited Equity Program,Transbay,New Construction,Ownership,,,,,05/25/2017,,,,,Not Applicable,,,,,201406259481,316,80,236,25,0,0,30,45,5,0,0,,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,30,0,0,0,37.7904035,-122.3915567,"(37.7904035, -122.3915567)"
2020-016,(1) Preliminary Phase,71 Boardman,71,Boardman,Pl,94103,3779,84,6,South of Market,South of Market,MOHCD,Multifamily Rental Program,Not in an OCII Project Area,New Construction,Rental,,,,,,,,,,,  (http://propertymap.sfplanning.org/?search=),,,,,100,99,1,99,0,100,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7744359,-122.4022873,"(37.7744359, -122.4022873)"
2020-039b,(5) First Construction Document Issued,1023 3rd St (Mission Rock Parcel A),1011,3rd,St,94158,8719B,2,6,Mission Bay,South of Market,MOHCD,Inclusionary Housing Program,Mission Bay,New Construction,Rental,,,,,,,,,,2013.0208PHA,2013.0208PHA (http://propertymap.sfplanning.org/?search=2013.0208PHA),,,On-site BMR Project,201910073782,283,102,181,36,0,8,58,31,5,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,54,0,38,0,37.77535,-122.3898,"(37.77535, -122.3898)"
